,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NUDT4,6.820951607,-1.24066241,0.818052469,-1.516604933,0.129366459,NA
ERMP1,1.72690743,2.426003798,1.600023479,1.516230124,0.129461173,NA
AMZ1,1.494652296,-2.552068149,1.68412182,-1.515370277,0.12967866,NA
DDA1,11.14132818,0.973661702,0.643026841,1.514185163,0.129978884,NA
MAP3K20,5.023525918,-1.30340931,0.862031749,-1.512020075,0.130528756,NA
TMEM53,9.692289793,0.992830438,0.656840123,1.511525259,0.130654678,NA
ARMH1,10.98394314,1.115036459,0.738048086,1.510791074,0.13084169,NA
PRKCSH,9.706305148,0.980080969,0.649576703,1.508799446,0.131350042,NA
ATG4B,4.757354548,1.39337668,0.923521403,1.508764903,0.131358873,NA
SPN,23.56591188,0.670638977,0.444611691,1.508370091,0.131459833,NA
NHLRC1,2.31806857,-2.097944311,1.392062139,-1.507076625,0.131791017,NA
TSR3,12.49705823,-0.883348921,0.586208294,-1.506885744,0.131839946,NA
SLC16A6,3.13126276,2.020314894,1.34099859,1.506574958,0.13191964,NA
SP100,39.1418899,0.566732414,0.37624399,1.506289611,0.131992844,NA
PTPN18,10.82747031,0.965175261,0.641139419,1.505406207,0.132219674,NA
IFITM2,18.38918029,-0.779077098,0.517923116,-1.504233108,0.132521356,NA
CMTM6,62.02457108,0.462831134,0.307743928,1.503948875,0.132594531,NA
SELPLG,9.586464532,1.003875357,0.668187875,1.502384874,0.13299774,NA
GIMAP4,29.53151969,0.622281239,0.4145043,1.501266064,0.133286759,NA
HDDC2,37.22483428,-0.590100796,0.393089876,-1.501185434,0.133307606,NA
AC027682.6,1.391233181,-2.873258676,1.914140389,-1.50106998,0.133337462,NA
MKRN2,2.539761625,2.328094429,1.551098979,1.500932217,0.133373094,NA
ZNF790,1.102490884,2.886647905,1.92551031,1.499159931,0.133832147,NA
DSC2,17.28884157,-0.725443178,0.484112778,-1.498500371,0.134003296,NA
RUNX2,1.776006741,-2.521158673,1.684764769,-1.496445509,0.134537598,NA
EIF4EBP1,33.0973802,0.62093196,0.415149067,1.495684346,0.134735932,NA
SNHG8,34.80776769,-0.652964543,0.436670452,-1.495325685,0.134829465,NA
VMP1,33.95476845,0.592258171,0.396091901,1.495254435,0.134848052,NA
TMEM8A,5.952047529,1.338442992,0.895300802,1.494964585,0.134923685,NA
ARPC1B,292.9707281,-0.394401909,0.26393092,-1.494337644,0.135087391,0.442258741
HOPX,3.736239168,-2.152556565,1.441280775,-1.493502586,0.135305678,NA
HNRNPA1,82.87631287,-0.419108817,0.281130895,-1.490796013,0.136015059,0.442258741
SLC27A5,2.638628782,-1.84415108,1.237052686,-1.490761955,0.136024004,NA
HMCES,6.597358725,-1.157806988,0.776781297,-1.490518622,0.136087924,NA
PARP9,23.37363713,0.73470244,0.493116941,1.489915231,0.136246526,NA
MAP3K1,5.061727617,1.35783614,0.911455993,1.489744048,0.136291548,NA
TREM1,91.13844557,0.497043703,0.333764441,1.489205084,0.136433373,0.442258741
PSMA3,58.13553069,0.484138425,0.325226047,1.488621311,0.136587117,NA
ATP6V1F,203.0613506,0.343210481,0.231491497,1.482605131,0.138179353,0.445416127
DDX47,0.863344918,-3.116889038,2.102417671,-1.482526084,0.138200368,NA
AC137767.1,0.863344918,-3.116889038,2.102417671,-1.482526084,0.138200368,NA
SLC43A2,15.44329064,0.859523899,0.579791402,1.482470929,0.138215033,NA
ADCY3,4.87596529,1.461899906,0.986396134,1.482061674,0.138323885,NA
TMX1,17.75211836,0.810965648,0.547191969,1.482049617,0.138327093,NA
SFT2D2,13.96769875,0.852028091,0.57514644,1.4814107,0.138497165,NA
GCDH,6.694222594,-1.415620808,0.955659832,-1.481301987,0.138526119,NA
BMPR2,6.230655167,1.245041793,0.840660515,1.481028038,0.138599102,NA
COPB2,23.04456714,-0.658829355,0.444925748,-1.480762481,0.138669878,NA
SLC31A1,25.70408235,0.646756601,0.436838255,1.480540209,0.138729138,NA
FTSJ1,2.348100738,-1.985719403,1.341598453,-1.480114559,0.138842677,NA
MVK,1.662078637,2.524189386,1.705589129,1.479951615,0.13888616,NA
RNF170,3.106132864,1.724418743,1.167265918,1.477314394,0.139591381,NA
PLAGL2,4.050324429,-1.590303523,1.076633028,-1.477108245,0.139646624,NA
BIN2,15.88911817,-0.829404678,0.561946132,-1.475950507,0.139957179,NA
MX1,50.1358529,0.661122348,0.447980513,1.475783718,0.140001963,NA
TSTD3,1.393482657,-2.911661638,1.977006863,-1.472762535,0.140815078,NA
AP3D1,10.26169703,0.946227018,0.642814252,1.472006905,0.141019013,NA
BAZ2A,6.110433004,1.243376068,0.845367118,1.470811959,0.141341977,NA
MTDH,78.83032,0.460997381,0.313474148,1.470607332,0.14139734,0.452860986
AC245595.1,2.418911436,-2.011550643,1.367874339,-1.470566839,0.141408297,NA
CD74,2430.178291,-0.320844187,0.218533729,-1.468167811,0.142058646,0.452860986
SBF2,4.742783113,1.484232158,1.011229241,1.467750434,0.142172026,NA
