,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GEMIN6,5.990753001,-1.699191263,0.80395023,-2.113552804,0.034553481,NA
CCT3,24.83454622,-0.894957226,0.424483053,-2.108346186,0.035001056,NA
SH3BGRL3,600.7740859,0.323842325,0.154621853,2.094414984,0.036223029,0.419995293
NELFB,3.342529341,2.874260773,1.376152658,2.088620587,0.036741891,NA
FYB1,62.14719583,0.672943158,0.322339502,2.087684428,0.03682631,0.419995293
RGS1,16.23568369,1.22877785,0.588832309,2.086804395,0.03690582,NA
TNIP3,7.44899405,-1.544171003,0.741184455,-2.083382877,0.037216338,NA
RACK1,305.9671929,-0.384069335,0.185181443,-2.074016321,0.038077795,0.42300433
FKBP4,4.389660896,-1.990795433,0.960028269,-2.07368418,0.038108651,NA
BICDL1,4.439833775,2.511461028,1.211424971,2.07314616,0.038158679,NA
ITM2A,32.22446001,-0.878331786,0.425163253,-2.065869473,0.038840806,0.425893954
ADAM19,21.37184664,0.971308035,0.470868981,2.062798939,0.039131735,NA
ZNF644,8.905810474,1.504218632,0.730160513,2.060120489,0.039387024,NA
METAP2,19.86240435,0.969811002,0.471275437,2.057843301,0.039605178,NA
ANKRD44,17.17422024,1.000968425,0.486474832,2.057595499,0.039628979,NA
C11orf98,3.198331245,-2.470307403,1.200798889,-2.057219927,0.039665076,NA
CHMP4A,25.82252896,0.869473148,0.42500629,2.045788892,0.040777145,0.44198676
GBA2,1.477377065,3.678587469,1.807959355,2.034662704,0.041884823,NA
HELZ2,1.477377065,3.678587469,1.807959355,2.034662704,0.041884823,NA
PUM1,8.563906734,1.438372317,0.707077302,2.034250446,0.041926351,NA
EBPL,5.871346667,-1.666769237,0.819509362,-2.033862351,0.041965476,NA
ATP1B1,17.7235411,1.076890072,0.529533733,2.033657168,0.041986174,NA
MYC,4.234871679,-2.348880621,1.155617573,-2.032576068,0.042095371,NA
KLF13,27.21744069,-0.787659927,0.388546123,-2.027198011,0.042642166,0.456949579
PIEZO1,2.341716746,3.264792199,1.611848615,2.025495551,0.042816505,NA
TRAT1,19.9939496,0.929035526,0.4591374,2.023436832,0.04302813,NA
ALOX5AP,135.9456957,0.474345758,0.236010926,2.009846608,0.044447426,0.468808036
POLR2J,26.56547151,0.797316179,0.397255412,2.007061841,0.044743079,0.468808036
NPM1,112.8854987,-0.466677967,0.233805436,-1.996009905,0.045932845,0.472469767
NAP1L1,42.11939906,0.672451307,0.337148444,1.994525909,0.046094611,0.472469767
CCL3,9.194049896,-1.387609316,0.695875924,-1.994047026,0.046146916,NA
ABI3,9.710560867,-1.424830053,0.716478792,-1.988656285,0.046739154,NA
EIF5A,34.04851861,-0.690163859,0.347628721,-1.985347632,0.047105808,0.472561457
ALDOA,5.068950816,-1.878163552,0.947527008,-1.982174161,0.047459752,NA
SIRPG,3.678199199,-2.332073755,1.177998875,-1.979690987,0.047738262,NA
CD247,37.49449571,-0.731057935,0.370069683,-1.975460215,0.048215945,0.478209124
TSC22D3,54.01658299,0.76870582,0.390396414,1.96903914,0.048948597,0.478209124
LINC02446,17.99366813,-1.085683021,0.551941988,-1.967023788,0.049180468,NA
PDCD11,3.03858913,-2.680669906,1.362907541,-1.966875834,0.049197527,NA
AC245297.3,9.47409265,1.408161501,0.716560236,1.965168356,0.049394755,NA
COIL,6.006667826,-1.562872863,0.796839057,-1.961340686,0.049839294,NA
